,bvdid,priority,ListLabel,Typology,EntryType,Name,InternalID_1,InternalID_1_type,InternalID_2,InternalID_2_type,InternalID_3,InternalID_3_type,CoType,License_Type,Address_1,Address_2,City,Zip,Cntry,Phone,Fax,Website,Email,RegulationType,RegulationTypeCode,RegulationDate,CancellationDate,RegCtry,RegCode,ListCode,ListLanguage,ListValidityDate,ListName,ListProcessDate,LEI Code,BIC SWIFT Code,Name - Mother Company,Address_1 - Mother company,Address_2 -  Mother company,City - Mother company,Zip - Mother company,Cntry - Mother company,Phone - Mother company,Check
82,,,,,,"TAIKANG.COM INSURANCE CO.,LTD.",000199,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
83,,,,,,Donghai Marine Insurance Company Limited,000202,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
84,,,,,,"Answern Property & Casualty Insurance Co., Ltd.",000203,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
85,,,,,,Sunshine Surety Insurance Company Limited,000204,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
86,,,,,,"Shenzhen BYD Property&Casualty Insurance Co., Ltd",000205,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
87,,,,,,"Long Property&Casualty Insurance Co.,Ltd",000206,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
88,,,,,,"XINJIANG QIANHAI UNITED PROPERTY & CASUALTY INSURANCE CO., LTD.",000208,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
89,,,,,,"Qomolangma Property & Casualty Insurance CO.,LTD.",000209,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
90,,,,,,"Haixia Goldenbridge Insurance Co.,Ltd.",000210,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
91,,,,,,"CCB Property & Casualty Insurance Co., Ltd.",000212,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
92,,,,,,"COSCO SHIPPING Captive Insurance Co.,Ltd.",000219,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
93,,,,,,Public Mutual Insurance Corporation,000221,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
94,,,,,,"GEG Property & Casualty Captive Insurance Co., Ltd.",000229,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
95,,,,,,CHINA YELLOW RIVER PROPERTY & CASUALTY INSURANCE CO.，LTD.,000231,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
96,,,,,,"Taiping Science and Technology Insurance Co., Ltd.",000232,Organization code,,,,,,,,,,,,,,,,Regulated,,2024-09-04,,CN,CSRC,3,,,List of Insurance Institutions,2025-01-08,,,,,,,,,,
